gap_between_6star,LimitedBanner(6+0),SpecialBanner(6),SpecialBanner(1),LimitedBanner(1+0),StandardBanner(1+0)
18,369,338,19,237,125
57,595,510,54,149,45
14,1245,542,13,21,9
16,525,449,64,11,11
37,466,240,131,50,52
30,444,490,58,131,3
12,504,682,3,209,100
58,582,329,66,49,30
1,605,673,63,65,22
40,400,178,51,41,76
48,462,431,64,44,26
42,249,311,26,318,55
60,824,317,11,9,54
39,502,138,20,69,21
70,517,472,66,121,52
30,776,371,54,57,22
61,431,298,71,60,32
16,449,343,144,369,8
9,674,653,36,60,145
4,899,347,73,32,52
9,465,554,6,18,4
39,459,546,52,112,64
27,266,336,102,128,149
6,726,298,184,168,94
44,390,437,20,99,79
10,666,445,53,14,8
58,612,377,125,9,44
2,543,515,45,119,180
10,555,330,9,59,155
58,524,278,11,107,47
56,327,283,52,223,6
50,749,309,3,111,33
31,469,301,100,148,65
33,767,288,30,59,62
4,558,455,22,53,28
48,773,230,76,42,115
30,505,400,26,10,81
26,453,324,55,122,50
2,453,495,54,17,36
3,544,651,21,63,53
16,457,379,52,124,19
40,574,327,22,66,16
15,675,490,32,118,177
51,345,410,8,84,165
20,467,462,145,184,173
12,609,373,52,42,303
8,747,400,4,108,127
60,306,299,64,99,59
20,574,305,149,96,17
33,565,325,94,13,16
55,697,606,79,8,56
31,462,698,8,52,108
23,585,340,44,70,5
36,338,538,172,12,92
5,776,400,9,157,34
16,771,378,155,43,33
14,620,447,48,9,22
35,547,502,6,268,98
27,285,329,33,54,46
57,369,492,65,146,53
1,594,464,62,57,11
27,478,661,28,35,32
25,442,436,115,168,41
6,747,410,81,76,123
58,378,378,50,98,56
56,401,342,36,215,79
17,328,443,53,6,68
18,335,558,19,64,104
65,407,336,16,116,93
63,499,203,177,305,49
52,419,330,166,80,141
56,648,427,170,125,88
23,687,319,5,57,58
45,444,391,180,121,36
13,882,517,178,114,65
52,915,691,73,172,76
40,311,755,59,7,57
66,772,520,17,33,176
44,829,310,16,225,57
3,580,599,56,176,123
27,643,431,108,61,74
52,604,361,5,18,60
20,498,372,92,5,75
59,701,494,34,272,6
48,368,539,33,113,164
9,348,482,22,74,43
61,664,412,98,184,60
62,721,807,46,35,112
6,418,343,53,123,14
54,734,508,11,55,30
25,544,320,32,53,63
61,560,296,41,106,26
9,1049,371,123,99,19
58,434,478,56,152,44
56,519,145,79,32,82
15,851,283,68,180,26
32,488,210,104,223,58
63,419,494,93,118,56
33,196,488,49,56,121
57,661,431,141,20,59
58,551,223,88,51,35
4,747,311,58,235,8
51,410,340,36,3,54
32,581,338,65,49,25
26,843,344,76,126,19
7,757,519,57,174,18
33,1029,264,176,216,62
41,490,230,181,34,63
38,679,406,75,47,21
59,293,393,60,58,24
5,862,529,75,120,119
5,307,449,6,126,59
59,660,350,164,107,58
57,871,349,44,109,9
39,281,395,60,56,110
27,539,326,112,249,3
25,599,299,14,133,210
21,470,236,30,274,4
13,595,264,63,58,214
28,388,485,26,93,19
24,485,312,19,50,1
39,434,445,44,89,1
6,840,341,82,7,9
39,608,321,26,66,51
41,550,559,58,51,59
54,639,360,56,76,50
18,597,822,121,20,78
9,634,560,59,91,116
60,255,330,35,289,54
4,512,238,8,21,87
25,498,265,54,76,15
21,347,616,25,55,82
11,745,350,19,86,181
10,570,454,18,362,18
55,426,274,62,103,36
16,314,364,63,183,64
59,407,508,21,37,224
58,582,364,24,15,50
5,500,296,119,150,64
48,819,660,59,121,4
25,450,581,58,448,57
16,543,313,9,14,190
25,885,544,110,40,19
32,545,231,3,82,151
23,442,454,195,20,98
7,623,608,16,38,121
57,870,372,4,56,62
30,606,472,202,60,21
54,531,326,13,117,25
3,389,552,19,110,62
59,640,487,1,21,10
35,501,415,1,101,44
55,367,470,9,34,18
51,509,366,51,39,43
12,455,407,59,152,39
28,424,282,50,43,60
19,757,523,78,54,121
53,453,263,116,64,104
16,585,520,54,67,32
6,952,477,87,36,34
12,578,446,15,62,107
62,740,380,82,49,142
28,942,662,181,17,61
32,1129,450,19,58,83
55,668,472,36,14,110
17,616,226,64,198,61
18,767,511,177,364,13
14,624,676,48,64,55
34,572,198,50,67,12
9,708,328,64,30,60
24,836,388,4,58,111
18,300,370,57,97,147
56,869,401,153,145,62
16,998,324,38,8,22
55,537,437,19,253,81
28,750,403,151,98,54
22,806,355,99,122,243
59,695,313,121,228,62
31,624,291,62,88,202
9,665,215,21,143,151
39,555,189,25,284,155
55,375,359,62,109,53
14,530,465,10,44,159
27,331,359,44,85,23
8,634,399,18,112,63
15,620,318,43,332,117
58,615,444,39,178,28
53,582,433,60,61,38
19,384,294,121,480,82
14,454,317,104,354,2
2,410,350,32,22,119
10,1094,276,34,240,167
2,415,353,107,132,120
40,575,423,142,56,121
19,417,456,61,46,110
9,664,399,83,223,11
12,692,338,110,57,36
6,524,451,61,605,9
4,823,238,13,53,60
8,749,485,55,31,166
54,1058,248,12,73,78
15,466,233,60,86,5
4,281,309,111,68,147
36,740,456,147,29,5
24,914,571,62,67,64
60,436,439,22,88,31
61,456,381,81,113,49
57,457,790,54,157,37
54,686,508,167,38,21
18,794,363,77,109,127
36,641,427,62,135,9
45,704,441,184,54,15
62,326,635,19,4,62
51,482,253,151,70,21
58,1008,280,156,103,19
50,949,226,54,43,61
49,760,377,159,126,55
2,469,249,24,172,39
65,371,379,63,32,34
19,575,341,117,270,112
52,561,294,28,111,52
31,735,462,38,3,23
52,444,220,82,398,91
10,717,417,2,50,12
59,445,495,119,165,114
60,506,303,167,19,30
2,507,425,121,19,57
7,606,592,121,58,151
32,556,528,110,64,25
54,399,549,11,57,19
22,378,284,36,20,66
20,733,455,9,75,63
27,728,473,60,95,123
30,618,374,166,24,55
28,381,483,79,327,37
34,584,343,5,259,118
61,300,195,147,73,61
62,1189,385,5,55,56
6,756,329,64,44,76
32,475,386,31,179,32
47,488,336,49,145,17
1,598,378,37,79,54
53,354,434,21,16,84
10,1314,533,127,311,15
32,610,394,9,128,2
48,509,404,15,83,123
60,526,391,62,131,116
31,995,377,21,112,19
58,730,400,19,62,45
16,720,406,61,59,173
63,655,463,55,10,12
38,947,752,39,56,24
56,387,521,34,89,28
62,570,316,112,56,77
9,569,168,52,177,56
12,1244,335,23,232,57
62,789,254,91,83,22
39,641,669,12,35,37
5,715,266,114,92,58
2,416,514,30,2,156
65,277,403,57,291,87
19,462,178,151,19,90
57,662,286,26,120,103
58,537,331,19,144,130
66,947,596,66,63,10
44,447,440,63,6,71
58,487,338,123,116,123
35,307,548,55,29,58
29,613,332,37,24,214
55,822,529,118,58,161
60,640,346,61,45,120
60,639,405,56,60,33
3,456,496,76,224,19
66,673,537,32,79,1
19,1085,558,17,55,111
35,513,281,54,93,131
56,549,326,84,28,222
33,624,409,15,156,48
57,610,262,2,110,1
10,791,275,123,155,13
61,531,424,116,94,48
48,527,246,19,32,25
43,614,267,45,69,227
18,1164,367,151,84,57
25,734,410,23,28,168
59,432,525,12,5,38
33,655,424,24,33,60
58,360,570,28,7,3
12,733,460,77,100,68
54,307,243,56,8,35
58,721,575,57,51,62
57,651,267,22,259,59
53,697,360,37,170,56
2,614,380,58,95,43
57,768,334,156,63,11
57,1386,554,88,46,59
16,632,412,90,166,55
63,439,526,103,5,28
14,489,383,130,133,9
54,365,357,10,130,51
1,470,288,71,104,109
2,717,358,123,133,150
65,781,369,58,19,38
15,418,268,174,32,21
55,405,360,41,57,55
52,788,491,161,59,217
19,388,345,121,69,43
44,483,396,33,32,6
52,394,522,19,56,105
38,652,480,1,8,34
57,479,514,111,162,54
22,366,484,131,188,131
37,622,360,169,60,53
4,1093,310,54,27,14
54,873,236,48,55,71
1,455,390,1,63,57
42,722,400,13,45,62
9,462,388,48,35,41
30,506,532,25,78,45
11,668,290,158,7,10
11,701,421,70,109,79
4,344,311,57,39,56
29,939,449,168,159,57
1,450,308,39,62,81
13,332,559,60,56,54
4,431,386,3,71,7
60,390,626,68,199,143
63,468,453,35,583,265
14,680,464,62,62,77
12,908,322,59,26,99
56,366,273,56,123,57
55,591,274,43,91,113
5,209,411,11,94,27
58,631,405,59,92,23
4,303,301,55,50,73
47,377,546,28,57,117
23,672,385,9,256,118
1,372,276,51,119,126
8,385,283,109,73,81
19,597,293,150,59,59
50,549,270,39,223,58
17,309,285,21,61,208
55,315,507,55,58,47
17,656,304,206,39,107
2,746,444,12,51,7
7,1325,326,43,294,53
34,255,527,6,155,121
5,605,273,105,379,8
16,591,492,34,48,34
5,797,472,54,73,18
23,1907,289,131,3,54
59,617,276,53,193,59
39,670,432,14,18,28
63,640,351,71,75,55
57,522,438,57,204,86
3,521,390,62,60,191
56,754,365,41,112,6
61,345,458,45,48,61
14,544,406,10,43,213
59,209,440,79,52,114
17,383,427,56,73,58
51,728,330,57,96,18
4,405,439,81,171,187
25,521,602,54,16,36
57,617,369,7,58,22
56,735,331,143,40,104
34,1117,491,155,45,56
7,636,396,111,44,54
51,389,367,77,59,48
7,452,398,99,332,60
38,264,239,57,69,134
63,352,498,113,37,122
15,498,238,27,196,33
31,932,537,23,114,131
23,757,322,73,15,52
46,654,434,117,8,118
